"emp_no","first_name","last_name","dept_no","title","from_date","to_date"
39952,"Otmar","Sudbeck","d007","Staff","1998-07-22","9999-01-01"
40269,"Toshiki","Ghazalie","d007","Senior Staff","1991-12-05","9999-01-01"
40269,"Toshiki","Ghazalie","d007","Staff","1991-12-05","9999-01-01"
40283,"Sudhanshu","Boissier","d005","Engineer","1985-05-11","9999-01-01"
40283,"Sudhanshu","Boissier","d005","Senior Engineer","1985-05-11","9999-01-01"
40301,"Spyrose","Felder","d009","Senior Engineer","1997-10-20","9999-01-01"
40536,"Harngdar","Bernardinello","d005","Engineer","1988-02-29","9999-01-01"
40536,"Harngdar","Bernardinello","d005","Senior Engineer","1988-02-29","9999-01-01"
40765,"Michaela","Ramsak","d008","Senior Staff","1992-12-21","9999-01-01"
40765,"Michaela","Ramsak","d008","Staff","1992-12-21","9999-01-01"
40773,"Shimshon","Aingworth","d009","Senior Staff","1986-04-13","9999-01-01"
40773,"Shimshon","Aingworth","d009","Staff","1986-04-13","9999-01-01"
40983,"Marla","Cherinka","d005","Technique Leader","1986-12-01","9999-01-01"
41114,"Petter","Thummel","d004","Technique Leader","1995-12-24","9999-01-01"
41137,"Bikash","Buchter","d009","Senior Staff","1996-01-08","9999-01-01"
41137,"Bikash","Buchter","d009","Staff","1996-01-08","9999-01-01"
41357,"Willard","Vernadat","d005","Engineer","1997-03-04","9999-01-01"
41518,"Keung","Schapiro","d004","Senior Engineer","2001-02-08","9999-01-01"
41520,"Xiong","Uhrik","d005","Senior Engineer","1988-03-21","9999-01-01"
41609,"Yucai","Simmen","d007","Senior Staff","1987-10-13","9999-01-01"
42778,"Shuji","Remmers","d003","Senior Staff","1987-12-18","9999-01-01"
42778,"Shuji","Remmers","d003","Staff","1987-12-18","9999-01-01"
42911,"Brigham","Eterovic","d004","Engineer","1994-10-08","9999-01-01"
42911,"Brigham","Eterovic","d004","Senior Engineer","1994-10-08","9999-01-01"
42950,"Shaleah","Eickenmeyer","d008","Senior Staff","1993-10-09","9999-01-01"
42955,"Yucel","Lortz","d006","Engineer","1995-02-21","9999-01-01"
43154,"Maha","Waterhouse","d002","Senior Staff","1997-07-04","9999-01-01"
43154,"Maha","Waterhouse","d002","Staff","1997-07-04","9999-01-01"
43733,"Huei","Boguraev","d003","Senior Staff","1993-12-31","9999-01-01"
43733,"Huei","Boguraev","d003","Staff","1993-12-31","9999-01-01"
43848,"Phillip","Oxenboll","d004","Engineer","1999-05-26","9999-01-01"
44054,"Alenka","Ritcey","d005","Engineer","1997-02-09","9999-01-01"
44265,"Maria","Eppinger","d005","Engineer","1997-01-30","9999-01-01"
44540,"Mingzeng","Sadowski","d005","Senior Engineer","1989-11-12","9999-01-01"
44900,"Mark","Schwaller","d001","Senior Staff","1994-08-10","9999-01-01"
44900,"Mark","Schwaller","d001","Staff","1994-08-10","9999-01-01"
44959,"Volkmar","Uhrik","d004","Engineer","1988-01-16","9999-01-01"
44959,"Volkmar","Uhrik","d004","Senior Engineer","1988-01-16","9999-01-01"
44962,"Sariel","Wynblatt","d005","Assistant Engineer","1996-05-18","9999-01-01"
45162,"Dulce","Speel","d005","Engineer","1987-10-19","9999-01-01"
45162,"Dulce","Speel","d005","Senior Engineer","1987-10-19","9999-01-01"
46000,"Zhaofang","Penn","d009","Senior Staff","1997-07-24","9999-01-01"
46000,"Zhaofang","Penn","d009","Staff","1997-07-24","9999-01-01"
46328,"Wuxu","Trogemann","d007","Senior Staff","1997-01-27","9999-01-01"
46811,"Junsik","Berendt","d004","Senior Engineer","1988-04-27","9999-01-01"
46834,"Tooru","Daescu","d007","Senior Staff","1998-03-20","9999-01-01"
46943,"Pasqua","Maraist","d005","Engineer","1993-12-06","9999-01-01"
46943,"Pasqua","Maraist","d005","Senior Engineer","1993-12-06","9999-01-01"
47016,"Toong","Litecky","d009","Senior Staff","1989-03-01","9999-01-01"
47016,"Toong","Litecky","d009","Staff","1989-03-01","9999-01-01"
47139,"Marco","Usdin","d005","Engineer","1996-10-29","9999-01-01"
47262,"Gonzalo","Binkley","d005","Engineer","1985-08-16","9999-01-01"
47262,"Gonzalo","Binkley","d005","Senior Engineer","1985-08-16","9999-01-01"
47515,"Naraig","Jenevein","d005","Senior Engineer","1987-01-18","9999-01-01"
47702,"Juyoung","Vieri","d007","Senior Staff","1991-08-12","9999-01-01"
47702,"Juyoung","Vieri","d007","Staff","1991-08-12","9999-01-01"
47708,"Edwin","Haldar","d001","Senior Staff","1995-07-12","9999-01-01"
48275,"Sariel","Massonet","d007","Senior Staff","1987-11-20","9999-01-01"
48275,"Sariel","Massonet","d007","Staff","1987-11-20","9999-01-01"
48690,"Hitomi","Schaap","d003","Staff","1999-09-27","9999-01-01"
48882,"Leen","Lamparter","d004","Engineer","1993-06-07","9999-01-01"
48882,"Leen","Lamparter","d004","Senior Engineer","1993-06-07","9999-01-01"
48904,"Yuichiro","Malabarba","d002","Senior Staff","1994-03-07","9999-01-01"
48904,"Yuichiro","Malabarba","d002","Staff","1994-03-07","9999-01-01"
48947,"Filipp","Akaboshi","d007","Senior Staff","1992-05-20","9999-01-01"
49010,"Kazuhisa","Benantar","d001","Senior Staff","1990-03-30","9999-01-01"
49010,"Kazuhisa","Benantar","d001","Staff","1990-03-30","9999-01-01"
49017,"Filipp","Flanders","d005","Engineer","1990-11-26","9999-01-01"
49017,"Filipp","Flanders","d005","Senior Engineer","1990-11-26","9999-01-01"
49119,"Lena","Peek","d004","Engineer","1991-05-16","9999-01-01"
49119,"Lena","Peek","d004","Senior Engineer","1991-05-16","9999-01-01"
49177,"Tze","Bach","d004","Engineer","1999-03-09","9999-01-01"
49464,"Siddarth","Cappelletti","d007","Staff","1999-09-10","9999-01-01"
49477,"Baocai","Leaver","d003","Senior Staff","1998-08-05","9999-01-01"
50293,"Xinan","Rindone","d004","Engineer","1996-10-08","9999-01-01"
50311,"Mooi","Stafford","d006","Senior Engineer","1996-10-06","9999-01-01"
50453,"Aron","Harbusch","d002","Staff","1997-10-02","9999-01-01"
50670,"Boguslaw","Snedden","d001","Senior Staff","1985-02-20","9999-01-01"
50670,"Boguslaw","Snedden","d001","Staff","1985-02-20","9999-01-01"
50831,"Marie","Khalid","d004","Senior Engineer","1996-06-11","9999-01-01"
51036,"Chriss","Fasbender","d007","Staff","1995-05-23","9999-01-01"
51057,"Theirry","Albarhamtoshy","d001","Senior Staff","1991-09-27","9999-01-01"
51057,"Theirry","Albarhamtoshy","d001","Staff","1991-09-27","9999-01-01"
51060,"Youngkon","Rohrbach","d005","Engineer","1989-10-20","9999-01-01"
51060,"Youngkon","Rohrbach","d005","Senior Engineer","1989-10-20","9999-01-01"
51142,"Rosine","Lakshmanan","d005","Engineer","1986-01-31","9999-01-01"
51142,"Rosine","Lakshmanan","d005","Senior Engineer","1986-01-31","9999-01-01"
52038,"Chikako","Armand","d004","Senior Engineer","1985-05-18","9999-01-01"
52040,"Phule","Heijenga","d005","Senior Staff","1996-12-08","9999-01-01"
52040,"Phule","Heijenga","d005","Staff","1996-12-08","9999-01-01"
52283,"Trygve","Krupka","d008","Senior Staff","1994-03-11","9999-01-01"
52283,"Trygve","Krupka","d008","Staff","1994-03-11","9999-01-01"
52386,"Adas","Denti","d007","Senior Staff","1986-05-30","9999-01-01"
52386,"Adas","Denti","d007","Staff","1986-05-30","9999-01-01"
52590,"Jouni","Munoz","d005","Senior Staff","1996-10-07","9999-01-01"
52590,"Jouni","Munoz","d005","Staff","1996-10-07","9999-01-01"
52599,"Augustine","Mungall","d009","Engineer","1994-01-13","9999-01-01"
52599,"Augustine","Mungall","d009","Senior Engineer","1994-01-13","9999-01-01"
52639,"Arup","Colorni","d007","Senior Staff","1996-02-05","9999-01-01"
52770,"Shugo","Yurek","d007","Senior Staff","1992-08-28","9999-01-01"
52770,"Shugo","Yurek","d007","Staff","1992-08-28","9999-01-01"
52778,"Alain","Penn","d006","Technique Leader","1986-05-03","9999-01-01"
52956,"Khalil","Picci","d006","Engineer","1998-11-24","9999-01-01"
52956,"Khalil","Picci","d006","Senior Engineer","1998-11-24","9999-01-01"
52970,"Lobel","Werthner","d004","Engineer","1988-03-17","9999-01-01"
52970,"Lobel","Werthner","d004","Senior Engineer","1988-03-17","9999-01-01"
53278,"Premsyl","Lortz","d007","Senior Staff","1993-02-01","9999-01-01"
53278,"Premsyl","Lortz","d007","Staff","1993-02-01","9999-01-01"
53314,"Eberhardt","Carrera","d008","Staff","1999-02-23","9999-01-01"
53431,"Sham","Vasanthakumar","d009","Senior Staff","1993-05-24","9999-01-01"
53499,"Zdislav","Mandelberg","d004","Engineer","1994-09-11","9999-01-01"
53499,"Zdislav","Mandelberg","d004","Senior Engineer","1994-09-11","9999-01-01"
53597,"Jiafu","Marchegay","d005","Engineer","1985-03-02","9999-01-01"
53597,"Jiafu","Marchegay","d005","Senior Engineer","1985-03-02","9999-01-01"
53874,"Bodo","Schade","d001","Senior Staff","1986-02-14","9999-01-01"
53874,"Bodo","Schade","d001","Staff","1986-02-14","9999-01-01"
53924,"Arnould","Gaughan","d004","Engineer","1991-01-23","9999-01-01"
53924,"Arnould","Gaughan","d004","Senior Engineer","1991-01-23","9999-01-01"
54198,"Shaowen","Segond","d005","Engineer","1986-01-06","9999-01-01"
54198,"Shaowen","Segond","d005","Senior Engineer","1986-01-06","9999-01-01"
54632,"Etsuo","Serot","d002","Senior Staff","1989-06-14","9999-01-01"
54632,"Etsuo","Serot","d002","Staff","1989-06-14","9999-01-01"
54795,"Sumant","Nergos","d004","Senior Staff","1994-03-02","9999-01-01"
54795,"Sumant","Nergos","d004","Staff","1994-03-02","9999-01-01"
54800,"Breannda","Cangellaris","d007","Staff","2000-01-27","9999-01-01"
55640,"Adit","Syrotiuk","d004","Engineer","1993-07-16","9999-01-01"
55640,"Adit","Syrotiuk","d004","Senior Engineer","1993-07-16","9999-01-01"
55687,"Shih","Lindqvist","d005","Senior Engineer","1995-03-29","9999-01-01"
55799,"Jianwen","Litzler","d004","Engineer","1987-06-17","9999-01-01"
55799,"Jianwen","Litzler","d004","Senior Engineer","1987-06-17","9999-01-01"
55857,"Adin","Scallan","d007","Senior Staff","1987-09-15","9999-01-01"
55857,"Adin","Scallan","d007","Staff","1987-09-15","9999-01-01"
56105,"Makato","Remmers","d005","Engineer","1989-04-16","9999-01-01"
56105,"Makato","Remmers","d005","Senior Engineer","1989-04-16","9999-01-01"
56209,"Remzi","Douceur","d004","Engineer","1992-12-01","9999-01-01"
56209,"Remzi","Douceur","d004","Senior Engineer","1992-12-01","9999-01-01"
56415,"Sigeru","Nivat","d002","Senior Staff","1991-10-24","9999-01-01"
56415,"Sigeru","Nivat","d002","Staff","1991-10-24","9999-01-01"
56428,"Olivera","Hanabata","d007","Senior Staff","1986-11-10","9999-01-01"
56428,"Olivera","Hanabata","d007","Staff","1986-11-10","9999-01-01"
56682,"Roded","Picco","d005","Assistant Engineer","1993-11-06","9999-01-01"
56829,"Nagui","Gruenwald","d006","Engineer","1997-06-14","9999-01-01"
56847,"Menkae","Chinin","d006","Senior Engineer","1998-08-27","9999-01-01"
57934,"Sanjoy","Boudaillier","d005","Engineer","1989-12-27","9999-01-01"
57934,"Sanjoy","Boudaillier","d005","Senior Engineer","1989-12-27","9999-01-01"
